Staff ID,Department,Shift Duration (Hours),Workdays per Month,Satisfaction Score,Years of Experience
S00000,Pediatrics,10,17,1.56,17
S00001,General Medicine,12,22,2.78,9
S00002,ER,8,19,3.5,10
S00003,Pediatrics,8,24,2.96,10
S00004,Pediatrics,8,21,2.61,7
S00005,General Medicine,8,18,4.98,16
S00006,ER,8,18,4.52,18
S00007,ER,8,22,3.49,6
S00008,Pediatrics,8,28,3.28,1
S00009,ICU,10,22,3.48,1
S00010,Pediatrics,12,16,1.81,12
S00011,Pediatrics,8,28,2.58,2
S00012,Pediatrics,10,16,1.16,4
S00013,Pediatrics,10,17,2.9,17
S00014,General Medicine,12,29,3.17,4
S00015,ER,8,26,1.91,11
S00016,General Medicine,12,26,4.86,4
S00017,General Medicine,8,17,4.64,1
S00018,General Medicine,10,15,3.89,7
S00019,Pediatrics,10,29,3.13,18
S00020,ICU,10,28,4.48,9
S00021,ER,10,17,1.52,3
S00022,ICU,12,20,4.16,8
S00023,General Medicine,8,22,1.5,19
S00024,General Medicine,8,27,4.18,4
S00025,ICU,12,26,2.1,18
S00026,ICU,8,28,4.51,11
S00027,ICU,10,24,4.78,14
S00028,General Medicine,8,20,1.6,18
S00029,General Medicine,10,19,2.85,16
S00030,ER,12,29,4.92,3
S00031,ER,8,18,2.93,15
S00032,General Medicine,12,17,4.45,4
S00033,ICU,8,27,3.35,5
S00034,ICU,10,18,2.5,17
S00035,ER,12,28,2.14,7
S00036,General Medicine,8,21,1.81,16
S00037,ER,10,15,4.05,14
S00038,ER,12,21,2.55,16
S00039,Pediatrics,12,15,3.05,7
S00040,Pediatrics,8,16,2.97,9
S00041,Pediatrics,8,29,3.31,4
S00042,ICU,8,18,4.46,11
S00043,General Medicine,10,15,4.92,2
S00044,General Medicine,8,25,2.63,12
S00045,General Medicine,12,26,4.31,12
S00046,General Medicine,12,25,4.06,4
S00047,Pediatrics,8,29,3.29,18
S00048,ICU,8,25,4.82,7
S00049,ICU,12,23,1.8,1
S00050,Pediatrics,10,26,1.44,13
S00051,ICU,8,20,4.42,6
S00052,Pediatrics,8,27,2.76,6
S00053,General Medicine,12,15,4.39,12
S00054,Pediatrics,8,15,4.57,8
S00055,General Medicine,10,20,1.25,19
S00056,General Medicine,12,18,4.53,5
S00057,ER,8,18,2.79,18
S00058,Pediatrics,12,29,3.04,5
S00059,ER,8,25,3.51,10
S00060,Pediatrics,8,29,4.71,1
S00061,Pediatrics,8,20,1.08,10
S00062,ER,10,29,2.91,5
S00063,ER,10,28,3.75,12
S00064,Pediatrics,12,26,3.89,7
S00065,ICU,8,25,3.77,9
S00066,General Medicine,8,21,1.54,12
S00067,ER,10,23,2.2,1
S00068,General Medicine,8,24,2.43,11
S00069,ICU,10,19,4.22,15
S00070,ICU,8,23,2.12,2
S00071,ICU,12,18,1.84,7
S00072,ER,8,27,4.83,12
S00073,ICU,8,24,1.04,18
S00074,ER,10,16,4.99,3
S00075,ICU,8,17,3.71,7
S00076,General Medicine,8,27,4.31,11
S00077,General Medicine,10,25,2.18,18
S00078,Pediatrics,12,15,1.06,12
S00079,General Medicine,12,28,3.95,6
S00080,Pediatrics,10,28,4.34,5
S00081,General Medicine,10,20,3.96,1
S00082,ER,10,27,1.57,12
S00083,General Medicine,10,20,4.01,11
S00084,Pediatrics,10,15,4.08,4
S00085,Pediatrics,12,25,3.63,18
S00086,ICU,12,27,4.06,4
S00087,ER,10,17,4.38,17
S00088,General Medicine,8,19,3.45,2
S00089,ICU,10,17,1.35,2
S00090,General Medicine,8,24,2.95,12
S00091,General Medicine,10,17,1.31,6
S00092,ICU,10,28,2.63,10
S00093,ICU,12,24,2.63,16
S00094,ICU,8,17,1.26,14
S00095,ICU,8,19,2.4,7
S00096,ICU,12,27,1.44,19
S00097,General Medicine,12,19,4.23,17
S00098,ICU,12,18,4.79,9
S00099,ER,12,15,1.29,13
S00100,Pediatrics,8,19,4.82,5
S00101,ICU,8,24,3.09,5
S00102,ICU,10,19,2.2,10
S00103,General Medicine,10,18,1.31,10
S00104,ICU,12,20,3.0,7
S00105,ICU,12,24,4.18,15
S00106,ICU,12,18,3.83,7
S00107,General Medicine,10,28,1.2,15
S00108,ICU,10,21,1.29,3
S00109,Pediatrics,10,21,2.61,19
S00110,General Medicine,10,16,2.18,10
S00111,Pediatrics,10,17,1.93,15
S00112,General Medicine,10,15,2.12,3
S00113,ICU,10,22,4.21,6
S00114,Pediatrics,12,23,4.72,12
S00115,General Medicine,12,18,2.62,15
S00116,ER,12,20,4.62,6
S00117,ICU,12,23,2.29,13
S00118,General Medicine,10,20,2.91,19
S00119,ER,8,28,1.9,3
S00120,General Medicine,10,26,3.56,8
S00121,ER,8,26,4.92,8
S00122,ICU,12,26,3.41,15
S00123,Pediatrics,10,23,2.43,4
S00124,ER,12,29,3.59,19
S00125,General Medicine,10,18,1.49,3
S00126,ICU,12,22,4.55,13
S00127,ER,8,23,3.01,8
S00128,General Medicine,8,18,2.8,16
S00129,General Medicine,8,19,3.34,13
S00130,General Medicine,10,28,3.5,3
S00131,ER,8,22,1.29,16
S00132,ER,10,26,3.73,9
S00133,ER,8,24,1.97,14
S00134,Pediatrics,8,28,3.86,13
S00135,ER,10,20,4.29,7
S00136,ER,10,26,4.22,15
S00137,ER,8,21,3.21,7
S00138,Pediatrics,10,17,3.08,6
S00139,ER,8,21,1.57,2
S00140,General Medicine,10,26,4.1,9
S00141,ER,12,28,2.09,17
S00142,General Medicine,12,22,2.99,5
S00143,General Medicine,12,24,2.14,12
S00144,General Medicine,12,20,1.54,1
S00145,Pediatrics,12,29,3.52,10
S00146,Pediatrics,8,24,1.22,11
S00147,Pediatrics,12,23,3.99,16
S00148,ER,12,27,2.27,14
S00149,General Medicine,12,20,1.0,8
S00150,Pediatrics,12,26,3.04,17
S00151,Pediatrics,10,23,1.19,18
S00152,ER,8,27,2.1,12
S00153,Pediatrics,12,18,3.83,17
S00154,ER,12,22,1.25,14
S00155,ICU,12,25,4.36,16
